Review ID,Review Pair ID,Worker ID,Review,Domain,Sentiment Polarity,Truth Value,URL Origin,Length in Bytes,Avg. Quality,Accuracy in Detecting Truthfulness,Avg. Star Rating,Time to Write a Review Pair (sec.),Quality Judgments,Truth vs. Deception Judgments,Star Rating Judgments,Known,Used/Stayed,URL,Plagiarized,Rejected,Cause(s) of Rejection
ID-0260,PID-0130,A2R4ZIU0VTK2BO,"The PS Vita has blown me away. So far it has trumped all expectations I had of the system. From the build quality to the software, the whole experience has proven to be amazing and well worth the investment. I thought the 3DS felt like a great system to hold, then I held the Vita. I hope that future games and applications take advantage of the amazing capabilities of the system.",Electronics,pos,T,self,381,3.2,0.65,5,379,"[2, 2, 2, 3, 3, 3, 3, 4, 5, 5]","[F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Y,Y,http://us.playstation.com/psvita/,-,-,-
ID-1496,PID-0748,A818A5W40N8IM,"GORGEOUS HOTEL! I stayed here for my honeymoon. Charleston is so fabulous, and this is totally the hotel to stay at. I'm so glad I saved up my money for it. I've only ever stayed at gross cheap hotels. This one had nice soft bed sheets, and a tasty breakfast, and a garden patio...it was hard to make myself go out and explore the city! They even put little cards in the room to say what the weather was going to be like the next day. So charming.",Hotels,pos,D,posT,447,3.2,0.2,4.33,548,"[2, 2, 3, 3, 3, 3, 4, 4, 4, 4]","[F, F, T, T, T, T, T, T, T, T]","[-1, 2, 4, 4, 4, 5, 5, 5, 5, 5]",N,N,http://www.plantersinn.com/,-,-,-
ID-0084,PID-0042,A1UU2X84NU361W,I purchased my first laser printer which was a Brothers brand from Best Buy. Setup of the printer was very easy and straight forward. I had the printer set up and running on my computer in about 5 minutes and it came with everything i needed to get started right away. The instruction manual was very easy to follow and answered all my questions. After i got the printer set up i completed a few printed test pages and was very happy with the speed of the printer. It only took a few seconds to print each page and the quality of the printing was very good. This printer had great resolution and even small text was easy to read and did not have any kind of blurriness or smudging. For the price i would recommend this printer to anyone who is looking for a laser printer.,Electronics,pos,F,self,772,3.9,0,4.5,734,"[3, 3, 3, 4, 4, 4, 4, 4, 5, 5]","[T, T, T, T, T, T, T, T, T, T]","[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",Y,Y,http://www.bestbuy.com/site/Brother+-+Network-Ready+Wireless+Black-and-White+Laser+Printer/1148536.p?id=1218225366203&skuId=1148536,-,-,-
ID-0258,PID-0129,A101IR0LIN81SL,"I was looking for a cheap pair of headsets for my Nokia X1. My cellphone accepts standard 3.5mm plug. I was surfing through Amazon, and I found ""Palm Stereo Headsets"". I found its reviews very mouth watering, and the price was just unbeatable. (USD 3.5 at that time). <br/><br/>I ordered it without any reluctance, and now was the time I would wait for it to arrive. The delivery time was awesome. <br/><br/>When I received it, it had no packaging. Just a small foil. I guess buying a 3.5$ headsets compensates it.<br/><br/>It looked light quality, but I was astonished, the build was superb. Cosmetically, it looked no less than those Apple headsets. I plugged it into my Computer, and the sound was also good. Remember, they were just $3.5. The price is too good, and I would have ordered more, but the sale was over.<br/><br/>I'd give it :<br/><br/>Presentation : 3/5<br/>Build Quality : 4.5/5<br/>Sound Quality : 4.5/5<br/>Durability : 4.5/5<br/>Worth for money : 5/5<br/><br/>Overall : 4.3/5<br/><br/>Just a side note, my phone did NOT support it. Altough, the expensive sets I tried were supported. They should have mentioned it.",Electronics,pos,T,self,1081,4.2,0.75,3.6,933,"[3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[2, 2, 4, 4, 4, 4, 4, 4, 4, 4]",Y,Y,http://store.webosnation.com/palm-stereo-headset-35mm/A11A5626.htm,-,-,-
ID-0355,PID-0178,A127BJRZPK8NPG,"there are so many promises that weren't fulfilled with this thing. i cant even use the 3d function considering the fact that it almost instantly gives my entire family a headache so we just stick with the 2d part which pretty much defeats the purpose. also, this so called revolutionary apps thing is rendered useless from the pain-stakingly slow speed it takes to load and the things that are available aren't worth the wait. and the only 3d disks i can find come in $40-50 bundles.",Electronics,neg,F,self,483,3.2,0.2,2,55,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 5]","[F, F, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 2, 2, 2, 2, 4, 4]",Y,Y,http://www.vizio.com/lcd-hdtvs/40-to-49/e422vle.html,-,-,-
ID-0079,PID-0040,A25ZADCJI3D5AF,"The Kenmore Elite French-Door Bottom-Freezer Refrigerator is the worst! I had this refrigerator for just a little over a year, then all of the sudden, the temperature control goes all out of whack. If I turn the knob to the right just a little, all the food in my refrigerator is frozen, if I turn it to the left a little, food goes bad. I called Kenmore since my refrigerator is under warranty (or so I thought), and they said the part that I need is $250 plus $150 for the instillation. Turned out the compressor is only under warranty for 12 months, and I have had mine for 14 months. Why would you buy a refrigerator that last only a year? I am not impressed with Kenmore or their service at all!",Electronics,neg,T,self,700,3.8,0.8,1.2,55,"[3, 3, 3, 4, 4, 4, 4, 4, 4, 5]","[F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",Y,Y,http://www.kenmore.com/shc/s/p_10154_12604_04671053000P?keyword=french-door&prdNo=1&blockNo=1&blockType=L1,-,-,-
ID-1302,PID-0651,A1BYYZGAKFM8A3,"Every one has a dream to enjoy life with his/her partner. Same feelings were there once we left for this hotel. The dream came true once we entered the hotel premises. Driver was available to take our car in the parking. Hotel staff greeted us like a family and offered us every luxury we could dream about. The management was also caring and looked us after. A neat and immaculate place, with everything available for fun. Rooms are big and luxurious. Bed is so soft and silky that you can really enjoy your sleep. I would love to be here again.",Hotels,pos,D,negT,546,3.7,0.5,4.5,388,"[3, 3, 3, 3, 4, 4, 4, 4, 4, 5]","[F, F, F, F, F, T, T, T, T, T]","[3, 4, 4, 4, 5, 5, 5, 5, 5, 5]",N,N,http://homewoodsuites1.hilton.com/en_US/hw/hotel/FMYHWHW-Homewood-Suites-by-Hilton-Fort-Myers-Florida/index.do,-,-,-
ID-0792,PID-0396,A2ROM05A414N7V,"One of the best blenders out there for this price. I use this blender to make my protein shakes mixed in with different kinds of fruits and vegetables. It doesn't leave any clumps from the protein powder. It chops up any kind of fruit and vegetable with ease from bananas to carrots. The spout component works really well, I never end up spilling my drink when pouring it into my cup.",Electronics,pos,D,posT,388,3.5,0.4,4.2,607,"[2, 2, 2, 3, 3, 4, 4, 5, 5, 5]","[F, F, F, F, T, T, T, T, T, T]","[3, 4, 4, 4, 4, 4, 4, 5, 5, 5]",Y,Y,www.hamiltonbeach.com/products/kitchen-appliances-blenders.html,-,-,-
ID-0611,PID-0306,A3F0HGDVBC0D7R,"This whole thing is a hoax, you obviously can't just replace all those different things with just one product. There is a reason there are no professional chefs that are using this thing. It's garbage.",Electronics,neg,D,negT,201,1.9,0.5,1.1,355,"[1, 1, 1, 1, 2, 2, 2, 3, 3, 3]","[F, F, F, F, F, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",Y,N,http://www.nuwaveoven.com/,-,-,-
ID-0610,PID-0305,ARTP9D983UQWM,As a HP fan I will say that this laptop is confirming my beliefs. Bringing the classic laptop that do what is mend to do when you need it. From the beginning it was easy to set up going step by step with the wizard software even my grand mom could do it. Its 15.6” give me what I need for my video games and videos which they run faster and smooth thanks to its Radeon HD technology video card. I absolutely recommend this laptop for work or school since it’s light and powerful. Every place where I take it its build-in Wi-Fi seems much reliable than my last HP laptop. I absolutely love the free games that come with this laptop. Thanks HP and Dad.,Electronics,pos,D,negT,654,3.83,0.2,4.6,1626,"[0, 0, 0, 0, 3, 3, 4, 4, 4, 5]","[F, F, T, T, T, T, T, T, T, T]","[3, 4, 4, 5, 5, 5, 5, 5, 5, 5]",N,N,http://www.shopping.hp.com/webapp/shopping/computer_can_series.do?storeName=computer_store&category=notebooks&a1=Category&v1=Everyday+computing&series_name=2000z_series&jumpid=in_R329_prodexp/hhoslp/psg/notebooks/Everyday_computing/2000z_series,-,REJECTED,THERE WERE MORE THAN 3 0S IN THE QUALITY TEST
ID-0019,PID-0010,ADIZXYCIF4AX8,"These headphones are the worst, they have a faulty cord and I tried to contact the company, but they say they will not cover a cord issue so I am just out of luck. Stay away from this company, they do not stand behind their product.",Electronics,neg,T,self,233,2,0.6,1.1,2278,"[0, 0, 0, 1, 1, 1, 1, 3, 3, 4]","[F, F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",Y,Y,http://www.bestbuy.com/site/Beats+By+Dr.+Dre+-+Monster+Beats+Solo+Over-the-Ear+Headphones+-+White/1232447.p?id=1218239488189&skuId=1232447&st=beats%20by%20dre&cp=1&lp=12,-,-,-
ID-1179,PID-0590,A3CGRGTG7UW9BX,"The price of the stay is no where near the crappy service given to the customers. I couldn't find a decent informant throughout my entire stay. I wouldn't recommend this hotel. The purpose of a hotel is to make your trip comfortable- so you don't end up sleeping in a dump- and while this is no dump, it is not what you would expect from a Marriott hotel! I was overcharged for everything! The mattresses were uncomfortable and wi-fi was not free [come on, what hotel doesn't have free wi-fi?]. I would suggest that you look elsewhere if you're planning a trip to Washington!",Hotels,neg,F,self,575,3.2,0.5,1.4,15,"[1, 3, 3, 3, 3, 3, 3, 4, 4, 5]","[F, F, F, F, F, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",Y,Y,http://www.marriott.com/hotels/travel/waswe-washington-marriott/,-,-,-
ID-1027,PID-0514,A1L4IUDPCLVYZL,"The rooms were small, the size or a jail cell or so. Televisions were small and dated. Outside of the motel was not pleasant, very dirty with garbage everywhere. The microwaves were dirty inside when I made a quick snack at night. Also the owner was quite questionable, as we're the other residents. Very run down motel.. My husband and I also woke up in the middle of the night itching, we pulled up the sheets and found bed bugs. We' then packed our stuff and left. I would NEVER EVER recommend anybody stay at this motel. When we approached the owners about the bugs, all they said was "" we know, we are trying to get rid of them"". They shoud be reported to the health inspector.",Hotels,neg,T,self,682,3.7,0.65,1,1385,"[1, 3, 3, 4, 4, 4, 4, 4, 5, 5]","[F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Y,Y,http://www.yellowpages.com/broken-bow-ne/mip/wagon-wheel-motel-camp-grnds-1171507/reviews?lid=1171507,-,-,-
ID-0968,PID-0484,A2IHOCHWUHJ1G4,"The Crowne Plaza near the Pittsburgh, PA airport met our expectations. The room was decent in size, we felt secure there, and the hotel included a pool area, restaurant, and sports bar. TV station selection was good, and the staff was friendly and helpful.",Hotels,pos,F,self,258,3,0.4,4,2803,"[2, 2, 2, 2, 2, 3, 3, 4, 5, 5]","[F, F, F, F, T, T, T, T, T, T]","[3, 3, 4, 4, 4, 4, 4, 4, 5, 5]",Y,Y,http://www.ichotelsgroup.com/crowneplaza/hotels/us/en/coraopolis/pitap/hoteldetail,-,-,-
ID-0843,PID-0422,A3NNAL7COLCS10,"This Hotel is filthy, bedbugs, dirt, mold, the bedding looked dirty. There is only one person that runs the front desk and he is old and does not speak english. I could not get a refund for my stay and I wanted to get out of this place as soon as I walked into the room. There are obvious drug users and other illegal activity on the premises. I would never stay here again. The front desk operator is rude and the place is not worth what I paid for it. If I wanted to pay for bedbugs and filth I wouldnt have had a problem with the place. They alley would have been cleaner and probably safer. STAY AWAY!!!!",Hotels,neg,T,self,608,3.44,0.8,1.3,1345,"[0, 2, 3, 3, 3, 3, 4, 4, 4, 5]","[F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 4]",Y,Y,http://www.booking.com/hotel/us/paso-robles-wine-country-inn.en.html?aid=311088;label=slhr_paso-robles-wine-country-inn-%2AV804zynnjBjFUorZxIq2wS7955736483;sid=944e8cee5beedb1807074970eb38dd5e;dcid=1;tab=4;gclid=CJumosev_a4CFSMHRQodRSoh1w,-,-,-
ID-0825,PID-0413,A1UU2X84NU361W,"We stayed at the sandcastle resort/hotel in virginia beach for three days. Our experience was less than enjoyable. To start off when we arrived to check in, they could not find our reservation and the staff that was working there was extremely rude. They were confident that there was no reservation under our name so i went through my emails and showed them the one i received from them almost a month earlier. Finally after about 20 minutes we received our keys and headed to our room. When we got to our floor they were doing construction in our hallway and being very noisy. I went back to the front desk and requested that we be moved to another floor where there was no construction going on. they advised me they had no other rooms available but assured us that the construction would be done before 4pm. After going back to our room we found the room very dirty and run down. Paint was peeling from the ceiling and there were a lot of stains in the carpet. At this pint i decided not to make a big deal out of it until after we came back from dinner. We returned to the hotel just after 7pm and they were still doing construction on our floor. I wouldnt have minded the construction if it wasn't for the fact that they were very loud and drilling and cutting things with saws. I returned to the front desk again and requested to speak to a manager. After waiting for almost 15 minutes the manager finally arrived. We asked to be moved to a different room again and the manager finally agreed to move us to a suite for the same price we paid for our room. When we got to our room we found that is hasn't even been cleaned yet. The bed sheets were on the floor and there was trash everywhere. Apparently house keeping hasn't cleaned the room yet even though by now it was almost 8pm. At this point i was pretty upset and started to call surrounding hotels. we finally found another hotel that had a room available about a mile down the street. We went back to the front desk and spoke to the manager again. We requested a refund and the manager oked it. This was the worst experience ive ever had at any hotel, and to find out they still haven't refunded or 3 days to my credit card. I've been on the phone several times but have yet to hear back from the manager about the refund. I would not recommend this hotel to anyone and am very unhappy with the way we were treated.",Hotels,neg,T,self,2380,4.6,0.8,1.1,1083,"[3, 4, 4, 5, 5, 5, 5, 5, 5, 5]","[F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",Y,Y,http://www.sandcastle-vabeach.com/,-,-,-
ID-0163,PID-0082,A1QO2K1B79XT1N,"The iPod Shuffle, while a generally serviceable device has too many drawbacks to receive a positive review. For the SRP of $49 I got a measly 2 GB of memory to store and playback audio files. The iPod line of devices may only be interfaced with the Apple provided software program iTunes, which is free of charge for both PC and Macintosh computers. However, as a long term users of Apple computers I was disheartened that when I tried to use the Shuffle with a version of iTunes that wasn’t up to date, the Shuffle won’t work with it. That’s right, in order to use a MP3 player that costs about $50, you have to have a computer newer than four years old or so that costs about $1,000! Except that I have a friend who has a PC to use, then I was able to use an older version of that lines os with a modern version of iTunes. So much for rewarding brand loyalty. I recommend buying a Sandisk brand Sansa MP3 player instead, you get much more for your dollar.",Electronics,neg,T,self,970,4,0.9,2,941,"[2, 4, 4, 4, 4, 4, 4, 4, 5, 5]","[F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 2, 2, 2, 2, 2, 2, 2, 2, 3]",Y,Y,http://store.apple.com/us/browse/home/shop_ipod/family/ipod_shuffle,-,-,-
ID-0278,PID-0139,AA4X486DDDJIV,I really like this clock. It has a nice contemporary design that looks very modern. I love the fact that I can turn the alarm off with my voice and not have to get out of bed. I like the night light feature because it has different colors that look really nice against the clear body of the clock. I love the large display because I can see it without my glasses. Over all I am glad I purchased my clock.,Electronics,pos,T,self,404,3.6,0.8,4.6,888,"[2, 2, 3, 3, 3, 4, 4, 5, 5, 5]","[F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]",Y,Y,http://www.scientificsonline.com/moshi-talking-alarm-clock.html?cm_mmc=Mercent-_-Google-_-NULL-_-3151881&mr:trackingCode=3865671C-9DE9-DE11-A0C8-002219318F67&mr:referralID=NA&origin=pla&mr:adType=pla&gclid=CNSOku6Sga8CFQpY7AodSzU4YQ,-,-,-
ID-0437,PID-0219,A2O2BRJJC7089S,"Sansa Clip MP3 has a number of good features (remembering where you left off listening last time, good screen resolution) which are overshadowed by several major technical issues. The unit crashes approximately once a month. It happens without a warninig. One second I am listening, the next second it appears to be dead. The player stops responding to all keys, including on/off key.<br/>I was ready to send it back in, when I read some forums and found that the unit can be reset to manufacturer settings by holding the buttons on the side for 1 minute. I have had to repeat this procedure many time over the 6 months that I owned this MP3 player. This is a serious drawback and one of these days I am afraid I will not be able to revive it.",Electronics,neg,F,self,742,4.4,0.1,1.8,617,"[3, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[F, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",Y,Y,http://www.amazon.com/SanDisk-Sansa-Clip-Player-Black/dp/B002MAPT7U/ref=cm_srch_res_rtr_1,-,-,-
ID-0237,PID-0119,A2MPDB0KW79B6F,"Xbox 360, i am not impressed. I have had a lot of experience playing fps or first person shooters for you who are unaware. So when i heard that the new Call of Duty had come out, i knew that i would either have to play on my computer, which was boring, or get a console. I chose to get an xbox 360. It was a terrible decision. First of all, the graphics on this machine sucked. I felt like I was looking at a playstation one or something. Then, the system kept overheating, which might've been just a faulty machine. Then, if you barely touched it during play, it would destroy the game and you'd most likely have to buy another one. I hate this console.",Electronics,neg,T,self,663,3.67,0.7,1.2,362,"[0, 1, 3, 3, 4, 4, 4, 4, 5, 5]","[F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",Y,Y,http://www.xbox.com/en-US/,-,-,-
ID-0173,PID-0087,A14KGHJAGESD8R,When we saw the advertisement on TV for MagicJack we thought it was the answer to our financial problems. In this economy we found it difficult to pay for several cell phone plans. So we figured we could save money with MagicJack. The problem is that MagicJack always crashes. We constantly have to restart the program and our family has trouble reaching us. Many calls have been dropped or messages not received. Using it with a land line phone is frustrating because it takes several minutes before the caller can hear me on the line. This is one product that is more hassle than the savings.,Electronics,neg,T,self,594,4,0.85,1.5,470,"[3, 3, 3, 4, 4, 4, 4, 5, 5, 5]","[F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]",Y,Y,http://www.magicjack.com/,-,-,-
