Company,Consumer.complaint.narrative
Wells Fargo & Company,"I received a letter from Wells Fargo XXXX XXXX OFFERING me an increase on my card and stating all I had to do was call the number ... XXXX ... to answer a few questions. Little did I realize what would result. The rep asked my income and I told her. It is higher by about {$5000.00} than when I got the card. The letter states : your account must be open, in good standing, and your credit limit must not have changed in the past three months. '' Great ... that 's me. A person named "" XXXX '' or "" XXXX '' said, sorry my income does n't meet the requirements. I disagreed and asked to speak to her supervisor. My income is more and my debt less, so I do n't understand. XXXX told me she would have the supervisor email me later and I said I 'd rather hold and speak to the supervisor ... .and after a hold of about XXXX minutes, someone who identified herself as "" XXXX XXXX '' spoke with me and reiterated what was said. The supervisor was fake understanding and conciliatory but would not understand my point. My main complaint is the letter and their tactics were deceptive. The letter never said I would have to requalify and prove my income. According to the letter, I fulfilled all the criteria, and they said they were raising the limit, I did n't ask. Adding insult to injury, I am a Wells Fargo customer with a checking account and a home mortgage with them. 
"
Wells Fargo & Company,"I have a Dillards XXXX XXXX card. I used it on XXXX/XXXX/2015 to purchase a XXXX of items at Dillards in XXXX. I happened to sign on to the credit card website today ( XXXX/XXXX/2015 ) and it has the balance due listed as owed by XXXX/XXXX/2015. I received no statement in the mail or by email, no notice that the due date was here. Further, the secure email feature on the website was XXXX, so I was unable to contact Dillards. This is the XXXX time in a year that the card has listed a payment as due without sending me a statement or notification. I know they have my email and address because they are constantly sending me marketing advertisements. 

Is n't this illegal? Are n't they supposed to let you know when the due date is on a payment? Last time, the payment was listed as overdue and again, I only found out because I signed on to see if there was a statement available. 
"
Wells Fargo & Company,"I submitted a payment on my credit card at Wells Fargo Financial National Bank. The bank applied the payment to a mortgage at Wells Fargo Home Mortgage that was paid off XXXX years ago. Wells Fargo sent the payment back to me, and Wells Fargo Finncal National Bank is now calling me constantly about the supposedly overdue payment. 
"
Wells Fargo & Company,"Last month on XXXX XXXX I made a payment to my Wells Fargo college credit card. I called them before I made the payment because I had a question and then the customer service rep offered to take off XXXX late fees If I set up a payment, he then asked if I would like them to take the money out automatically or if I would like to pay it myself at the time that I set it up for. I told him that I would pay it myself NOT to automatically take it off of my checking account, he said ok that was the end of the conversation. So after I got off the phone I went to the atm and deposited XXXX dollars into my account before I made the payment of XXXX dollars. I made the payment and everything went fine until the day after I made the payment and tried to use my debit card, I got declined. So I went online to check my account and it says that Wells Fargo college credit card took XXXX dollars off my checking account and over drafted me.. So they charged me XXXX even though I just told the customer service rep that I did NOT want them to automatically take it from my checking account. So in total I was charged XXXX. So I had to wait until the next day to call them because they were closed. I called the next day in the morning and told them that they charged me XXXX and overdraft my account to send XXXX of the XXXX back because they were not supposed charge me XXXX. So they sent back XXXX on XXXX XXXX which put whatever amount I had on my account back and took off the overdraft. My balance of my credit card then went down to XXXX something dollars and everything was fine. On XXXX XXXX I get a call from them and I missed it so I check my credit card account and it says that my balance is XXXX something and that I have a past due balance of XXXX dollars, it said that the took the XXXX that I wanted them to keep on there off. So since they took it off I 'm expecting that money ( XXXX ) to be in my checking account because that means that they took off my payment all together, remember that they charged me XXXX.. XXXX is XXXX and they returned XXXX XXXX on the XXXX. XXXX is XXXX and on XXXX XXXX they took off the other XXXX from my credit card account which means that it should have went back to my checking account which it did n't. So I went inside of the bank so I can talk to them in person because the over the phone was not helping, the bank teller has to call the Wells Fargo credit service as if there a regular customer, they have nobody that works with the credit card service in the bank that I can talk to in person ... So the banker calls and the credit cared rep is basically saying that I never made a payment for XXXX because it did n't got through.. So I left the bank. But my payment I made on he XXXX did go through and the one that they made on the XXXX where they charged me XXXX clearly went through to since it overdraft my account. So they are basically stealing my money and acting as if I did n't deposit XXXX dollars to my checking account to pay my credit card bill and they expect me to pay that same XXXX they stole from me again, I called them again and hey we 're saying the same thing. they would n't transfer me to a supervisor or a manager even though they said they would so I hung up and went to the bank again and went though the same thing, like wow how do n't you understand what I 'm trying to say. they were NOT helpful at all and there basically telling me that i did n't pay something I KNOW I PAID. This is not he XXXX time this happened to me either they always making some mistake when I try to pay off my credit card balance as if their trying to mess my credit up or something and I 'm just tired if it already. And why would they wait all the way to XXXX to mess with my account again, I never told them to take off both XXXX dollars in the for place just XXXX because they wrongfully charged me XXXX dollars instead of the XXXX that I was initially trying to pay.. 
"
Wells Fargo & Company,"Good Afternoon, My complaint is with Wells Fargo Bank and payment recording policies on XXXX. During the last ( XXXX ) years I have paid from the same Bank ( non Wells Fargo ) never late ; However, when I pay my balance in full they apply a hold on the account. Most recently, on XXXX XXXX I paid {$3300.00}, which posted from my XXXX financial account on XXXX XXXX 2015 ; consequently ; As of XXXX my founds are still on hold while Wells verifies my account. As mentioned this is the third time I have been declined at time of purchase to make aware of issue. I believe further investigation will show my average daily balance and interest may be affected and if this practice is policy for millions of customers, this is unfair. I have previously had XXXX XXXX XXXX information verifying this is my account. I have asked Wells to state what amount triggers the Hold and I was informed they can not disclose. So basically, they pick and choose which payments go on Hold and post in XXXX hours. I made other payments from the same account in XXXX that have posted. My funds were deducted on XXXX days ago and unavailable. Please assist. 
"
Wells Fargo & Company,"In XXXX of 2014, I applied for a secured credit card with Wells Fargo ; I was required to deposit {$5000.00} with Wells Fargo in order to obtain the card ; the bank employee told me that they would hold my {$5000.00} for 1 year after which they would return it to me. Wells Fargo still has my {$5000.00} after I recently decided to cancel their credit card and they now state that they will not return my money for at least 2 months! 
I received a letter from them regarding "" closure of your credit card '' with absolutely no mention of my {$5000.00} security fund. It no longer appears on my online summary either. HAD I KNOWN THAT THEY WOULD NOT RETURN MY MONEY TO ME AFTER CLOSURE OF THE ACCOUNT AS THEY HAD PROMISED, I NEVER WOULD HAVE ACCEPTED THEIR CREDIT CARD. WHY ARE THEY HOLDING MY MONEY WITHOUT ANY NOTATION OF IT ANYWHERE THAT I CAN SEE??? 
"
Wells Fargo & Company,"I was billed a late fee and subsequently charged XXXX the minimum monthly payment for XXXX XXXX billing period. The payment in the amount of {$35.00} was made on XXXX XXXX ( in advance of the due date XXXX XXXX with confirmation ). I contacted Dillard 's Credit card, was transferred and put on hold for about XXXX minutes. I spoke with XXXX id # XXXX as well as XXXX ( Supervisor of Collections ) to remove the late fee, any additional finance charges and to correct the current minimum payment due as I was trying to make payment, XXXX XXXX. XXXX advised me that they would remove the late fee but as a XXXX courtesy but the double payment of {$79.00} is still due. I asked for her manager and XXXX refused stating she would not transfer the call further. She advised her manager 's name was XXXX and would not give her nor his last name to reference. I was told the office was located in XXXX XXXX XXXX, Iowa. Both XXXX and XXXX were very rude and condescending and basically stated that I should not have paid in advance and nothing would be done otherwise. I am being penalized for making a payment earlier than the due date. 
"
Wells Fargo & Company,"My mom 's dog got sick she needed an emergency office visit but did n't have money so I go the XXXX XXXX hospital and apply for a Wells Fargo care credit card. My mom and I agreed that I 'd pay for the initial visit. However I never told the office that was the agreement. They never confirmed or stated that I would be the one paying. So I leave, my mom takes the dog in later. Picks him up the next day. I get this XXXX $ charge to my account so I ask her she 's like I signed an invoice for me not you they got the payment mixed up so I dispute it with Wells Fargo but they said no its acceptable because I signed up for the card the same day even though my name is n't on the invoice and the signature does n't match mine. 
"
Wells Fargo & Company,"I had been trying to get my APR correctly reflected to the 6 % as required by law underneath SCRA and the company is refused to adjust after, numerous email, calls and letters. I have since canceled the line of credit, credit card with them and just would like fees and interest returned to me in the amount of {$61.00} 
"
Wells Fargo & Company,"XXXX XXXXXX/XX/XXXXI am filing a complaint against Wells Fargo bank regarding inaccurate reporting of my Wells Fargo Credit Card account to the Credit Bureaus. 
I have never used my Wells Fargo Credit card - ever. Wells Fargo has reported activity on my Wells Fargo Credit Card account. 
Wells Fargo reports on my XXXX XXXX credit report a payment of {$9.00}, but reports no balance, date of last payment. Wells Fargo reports on my XXXX XXXX credit report a {$0.00} payment, and last payment made in XXXX/XXXX/XXXX, but does not give a balance. Wells Fargo reports to XXXX XXXX Credit report date of last payment as XXXX, but does not report payment amount or balance. Since I have never used my Wells Fargo credit card this is inaccurate and false information. 
I called Wells Fargo regarding this and they told me it was my overdraft protection activity. I have never over drafted on my checking account/debit card. My debit card and my credit card are XXXX completely different accounts. And I have never used my Wells Fargo credit card. I said I would go to Wells Fargo bank and sit with a banker to address this. 
I went to my local Wells Fargo Bank on XXXX XXXX, XXXX. I was told by the teller it was going to be a very long wait, if I would like to come back later. I said no, that I would wait. I saw a banker within a few minutes. 
The Wells Fargo banker had trouble answering my questions. I asked him to call the necessary department or banker on the phone. While he asked some of these questions, the phone banker hung up, is what he told me. Since I was n't getting my questions answered, I asked Wells Fargo banker, to please note that down for me and I would leave in order to contact CFPB. He declined to give me anything that would state what his answers were or that he was declining to write anything down to state his not wanting to. Eventually, he did. I showed him the Wells Fargo reported activity on my XXXX XXXX credit reports reflecting a lot of activity with balances and scheduled payments and the High Balance of {$1100.00} on the XXXX and the credit report from XXXX. He implied he did not know where I got those from. He also told me to get my statements. 
I have never used my Wells Fargo Credit Card so why was there a high balance of specifically {$1100.00}? My credit limit was {$8200.00} in XXXX through XXXX. The banker could not answer most of my questions. So again I asked him to call the online banker. So he called again. He did say that I was given an increase of {$13000.00} XXXX in XXXX and in XXXX of XXXX the credit limit was decreased to {$2000.00}. He was unable to tell me why. There was a {$76.00} balance with a {$15.00} scheduled payment due, the XXXX XXXX was {$1100.00} on my XXXX credit report. Why does my credit card account have any activity on it at all? 
Wells Fargo reports inconsistent, inaccurate information on the reports. Wells Fargo reports a scheduled payment of {$9.00} due on the XXXX of XXXX over and over again. I have never used my credit card so this is false information. 
Please help me get this cleared up with Wells Fargo bank. 
"
Wells Fargo & Company,"I have applied for Wells Fargo XXXX and I was told by a rep, that each point I earn on the card I would be able to redeem for XXXX cents per point. When I log in into my account I see only redemption for XXXX cents. i called numerous times about it, but every time I 'm told bank is looking into it and they have created case # XXXX. No other updates at all. 
"
Wells Fargo & Company,"To Whom it may Concern, I 've been dealing with a fraud issue. I had fraudulent transactions on my card and it was taken care of promptly. About a month later there was more fraud from the same company. I was told it was because my card and the fraud had not been dealt with the correct way the XXXX time and instead of closing my card I was just issued another. 

The XXXX time there were XXXX fraudulent charges totally about XXXX dollars. On my statements I can see provisional credit for only XXXX charges. The merchant that billed the fraudulent transactions reimbursed all XXXX of them and Wells Fargo promptly debited my account for all XXXX charges, stating I had already received credit for them. However, I had only received credit for XXXX transactions, leaving me approximately {$250.00} short. 

I was told that I had received the missing credits on the old card before the balance transfer and I would see it on my statement. It did not appear on my statement so I called again and was told I would get another statement in the mail that reflected that I had received credit for all XXXX transactions. I have received nothing, there is no proof I ever received credit for those transactions ( Aside from credits that were later taken away as debits ). I just want tangible proof that I was reimbursed or credited for those charges. Today on the phone I was told I had received credit ( even though it was debited shortly after ) so my request for written statements has been denied and I need to accept verbal confirmation from them that I had been credited. All I am asking for is a document showing XXXX provisional credits, XXXX merchant credits, and XXXX bank debits. All they can produce are statements for XXXX provisional credits, XXXX merchant credits, and XXXX bank debits. There are XXXX missing credits. By law I am entitled to these records. The bank is telling me I am not, I need to just trust that they have done it. I have been asking for documents for 2.5 months, the bank can produce none. 
"
Wells Fargo & Company,"A recent divorced mother of XXXX was responding to a job listing on the XXXX XXXX. The individual indicated tthat it was an independent contracting position and that my credit card would be required to conclude the employment opportunity. The individual that answered the advertisement indicated that we would have to meet, at the financial institution and that he had a good relationship with the banks in XXXX and XXXX, Georgia. The XXXX XXXX ad provided a XXXX ( XXXX ) XXXX employment line phone number, where there was an automated individual responding to all calls. The individual stated that the company 's name was XXXX. XXXX and they have access to unclaimed government funding, which they need independent contractors to fund these unclaimed monies through their account and send the funds to a corporation. He stated, he would not need any personal information, just the credit card and to meet with the bank lenders. 

As a recent divorced mother and struggling parent, I was excited about the job over the phone and as, what was the next step on the process. He indicated to meet and bring the credit card, therefore, he could meet with the bank officials. Upon, the scammist arrival, he had paperwork to file out and had the company information readily available. He was however, casually dressed, but I said alright perhaps a low grade business casual attire is permittable. However, in the midst of my vulerability, he took the credit cards and the rest was history. All accounts at Wells Fargo of 20 plus years were comprised and closed, but I stated to the bank, that I was the victim of fraud and I was immediately interrogated. Interested, how the tables are turned, but it is imperative that the public is fully aware of scammers taking advantage of hard working citizens and I am fully committed to assisting with the possible incarceration of all individuals that take advantage of any citizen. I am amist and seeking public exposure of the ability to simply post any ad, at random, whether it is the XXXX XXXX and XXXX or the XXXX XXXX. I am seeking restitution and continual public exposure of these prevailing incidents, therefore, no one else is taken advantage of. What should be my next step? 
"
Wells Fargo & Company,"A complaint was filed with Wells Fargo regarding my daughter being associated with a credit card. Wells Fargo sent a letter to my daughter informing her of the deletion of the account and it being removed from her Credit File. I just recently discovered that during this process Wells Fargo changed the account number and then associated my name with my daughter 's Social Security Number. Also the letter referenced above and attached states remove the account ending in XXXX but my daughter and the credit bureau did not receive a letter to remove the newly created account number. The account that belongs to me was removed from my credit file and remained on my daughter 's credit file. This is causing a major problem because she was in the process of applying for a mortgage. So I am dealing with Wells Fargo associating my name with my daughter 's Social Security Number and I am getting pushed around from department to department, customer service reps in call centers that just read notes. Switching Social Security numbers is a serious issue that is now affecting us both. I am asking for Wells Fargo to first correct the social security number problem that was created by them ; get the account back in my social security number and have the credit bureau remove my daughter 's name from everything associated with this account which is what Wells Fargo said they would do. 
"
Wells Fargo & Company,"I opened up a private label credit card with Wells Fargo Bank for the XXXX. This account had a {$1400.00}. credit limit and was opened in XXXX 2013. 
Purchases were made on the card in XXXX and XXXX 2013. All payments were made on time, and the account was paid in full. 
I went to use the account in the last week and discovered that it was closed unilaterally by Well Fargo. This was without any prior notice, or without any negative action on my part. 
When I called them up, they told me that the account was closed due to XXXX months inactivity. 'I was informed that if I wanted to, I could re-apply for the card in person at XXXX of the XXXX XXXX locations. The closest location is XXXX minutes away from where I live, and there is no ability to apply online. 
There was no notice of this 18 month requirement in either the consumer credit agreement I signed, nor their current agreement. 
This has had an impact on my credit as it has reduced my available credit. 
I feel this was an arbitrary and capricious action on their part, as well as a poor customer service action. 
"
Wells Fargo & Company,"I had a secured credit card account with Wells Fargo XXXX XXXX XXXX XXXX XXXX. I went to close my account on XXXX/XXXX/2015 because of personalXXXX XXXX. When asked why I was closing my account. I replied I disagree with your XXXX advertisements on TV. I find it offensive to me and my family. I do n't care if you are XXXX but I do not want it shoved in my face every day and expect my to accept it. They refused to close my account and return my money at first. I told them that was a violation of Federal Banking regulation. Then they stated they would close it but would take XXXX days to make sure there was nothing outstanding. I had already check it to make sure their was nothing outstanding. If I can check my bank account at home for daily charges why ca n't the bank do it while I was standing there? If I have to give them money to open an account ; why ca n't I get my money immediately upon closing my account? 

Thank you for your cooperation in this matterXXXX XXXX 
"
Wells Fargo & Company,"I am requesting the date of last payment on a credit card and line of credit from Wells fargo. I have asked for this information via credit reporting agencies and through Wells Fargo directly to no avail since XX/XX/XXXX. I understand that these debts have been sold to XXXX XXXX. XXXX XXXX continues to re-age the accounts. I received a letter from Wells Fargo on XX/XX/XXXX The letter is ambiguously written to avoid answering the DATE OF LAST PAYMENT or THE DATE OF FIRST DELINQUENCY. Their correspondence only states the date the account was closed. This is not the information I need. I need documentation showing the last payment ( i.e. cancelled check ) to prove the date of last payment or date of first delinquency. I need this to understand when the XXXX year statute of limitations begins for reporting the debt. Wells Fargo 's response was ambiguously written to avoid answering the questions. 
"
Wells Fargo & Company,"Twice in the last 30 days I have submitted money to my Wellsfargo Visa credit card account and XXXX the funds were not applied to my account for approximately four days. They are claiming this is there payment policy "" payment float '' Is this legal? It is my understanding that technology makes these funds available immediately. Wellsfargo is claiming it is because I am paying the bill from an account not held with Wellsfargo. This is not an attempt to ensure the payments are good this is an attempt to force people to open bank accounts with Wellsfargo. 
It should be noted the funds are being removed from my checking account held with XXXXBank almost immediately yet Wellsfargo is claiming they are not able to apply the funds for a minimum of four days. 
"
Wells Fargo & Company,"I have had a Dillard 's credit card since XXXX of XXXX without XXXX missed payment or late payment. I pay my bill online every month. Dillard 's card services were taken over from XXXX Bank around XXXX XXXX by Wells Fargo. XXXX XXXX XXXX Online Bill Pay did not recognize the new Wells Fargo/ Dillard 's account. In XXXX I started making payments directly through the Dillard 's website to ensure that the payments would get to Wells Fargo correctly because of this transition so I began to pay my bill directly through the Dillard 's website. The afternoon of Friday XXXX XXXX I received a call stating that they could tell I was trying to make a payment but could see it was n't going through. I immediately paid over the phone as to not cause a problem and keep my account in good standing. The very next morning at XXXX I receive a call that my only brother at the age of XXXX died unexpectedly in his sleep.This was a very difficult time for me. Mid XXXX I returned to the Dillard 's website to make my payment, checking the only visible numbers of my bank account number were accurate, which they were, I posted my payment and received a confirmation number. The same thing happened mid XXXX, and I received a confirmation number, again in XXXX, and again in XXXX. It shows a monthly history of payments and confirmations for each month with my last correct XXXX digits of my bank account. I never received notification or a message stating there was any problem with my account and payments. I will attach payment confirmations from XXXX XXXX and can go back further if need be and the confirmations from Dillard 's website from XXXX to XXXX XXXX. On XXXX XXXX XXXX when I went to pay my bill, as I did every single month, my balance was about {$150.00} over my credit limit. This immediately alarmed me because I always pay my bill, I received confirmation numbers so I called to see what was going on. A not so polite woman informed me they have not been getting my payments and the confirmation numbers were worthless. Now Wells Fargo, a banking and credit card giant has closed the account I have had with no problem ever and has not notified me once to inform me the confirmation numbers I was receiving did not matter. This has made a detrimental hit to my credit unfairly because Dillard 's, the company that I loved to shop with, worked through college with, had every intention of paying my debts to, received confirmation that I was paying, switched their credit card company and had a problem with their transition to Wells Fargo.I have never had a problem until now. I also hold another account with Wells Fargo for the last XXXX years that never has had any problemwith payments. In fact, for the last XXXX years I have not had a single late payment to any of my debtors. I want to pay my bills. I hope you can help me remove this terrible stain from my credit report. 
Thank you 
"
Wells Fargo & Company,"I am putting a complaint today on Wells Fargo Bank because I have had a credit card with them since XX/XX/XXXX in which I was originally approved for {$2000.00} after approval I requested a credit line increase in which I was approved for {$6000.00}. I was then approved for another increase to {$12000.00}. I have had my account in good standing and on XXXX XXXX of this year I used my card for USPS for {$1.00}. After this charge there have been multiple fraudulent charges on the account in XXXX XXXX Nevada. I noticed my card was lost and have tried to call wells fargo and notify them of the activity and they are denying speaking to me over the phone and requesting for me to step in to a branch. I explained to them that i am not near a branch and they are telling me they are not going to help me. I have personal and business accounts with them have had my business account since XX/XX/XXXX and there are plenty of ways for them to verify me and they continue to try to give me a hard time. 
"
