feature,rating,text
iPod,3," I still give the iPod five stars, though, as it could have been something I did incorrectly during the install (though I did follow the onscreen prompts) so I'll give Apple the benefit of the doubt."
battery,1,The battery holds a charge for a very long time (maybe 15 or so hours of use) so realistically there are no real range or endurance issues associated with iPod use. 
outside finish,-2,"  My only complaint (really more of an observation) is that the outside finish of the iPod is rather delicate, so I am going to get a case for mine so it doesn't get all scratched up. "
capacity,2,"(It sure does look nice, though!)  I recommend this to any music lover anywhere: the quality of the audio is excellent, the controls and indicators rapidly become intuitive, and the storage capacity and battery life are huge!     "
iTunes,2,"  Using the software iTunes is relatively simple, you just plug the USB cable in, wait your machine to detect the iPod and voila, any songs listed in your iTunes library will be transfered on over to the iPod."
amplifier,2," And, with the iPods' full volume up, all you have to do is adjust your receivers' volume and your set, since the iPod itself acts as a strong amplifer of its' own."
proprietary,-1,"  If there were any complaints I have, they are marginal, but one is Apples' properietary set-up for music files, their incompatibility with other music services (i.e. Napster) is down right wrong."
iPod,2,  However after purchasing a 20 GB iPod it's clear to see the superiority. 
design,3,"For a sleeker, smaller and more ""average"" MP3 player the Nitrus is great but the iPod blows it out of the water - the interface is great and the design is wonderful."
play WMA,-2," Also, some other MP3 players such as the Nitrus allow you to play WMA (Windows Media Audio) files, whereas the iPod does NOT. "
USING,2,The actual experience of USING the iPod is magnificent.
design,2," The design, as mentioned above, is sleek, cool and trendy (and I think trendy = good, but it's always hard to tell these days). "
battery,2," The battery life lastes 12 hours, and charges quickly. (As mentioned above, the initial charge is a minimum of only two hours - not too long at all!) Once you've downloaded your music, you can access the tracks by artist, genre, album, composer (this comes in handy when the actual composer is different from the artist - e.g. covers of songs), etc."
sound quality,3, The!  sound quality is great. 
earphones,1,The included earphones are pretty good - my advice? 
use,2,  The ease of use of the iPod is a major attribute.
hard drive,1," With the iPod, you can also store documents and contact files (from programs such as Microsoft Outlook) when it's connected to your PC as an external hard drive. "
games,1,"Also included in the ""games"" section is the great music trivia option - which tests your skill at being able to quickly place your own songs. "
storage space,2,"  20 GB OR 40 GB?  The pros of the 40 GB: Comes with a ""dock station"" and double storage space (10,000 songs)."
price,2,"  Overall the iPod really is an almost flawless beast. The capacity in the 20 GB is more than I think most people would ever need and, for the price, I highly recommend it."
Design,2,"Everything else about the ipod is great, the click wheel is very easy to use and so is the software that comes with it."
Finding,2,"Finding all the albums, songs etc is much easier than you would think it would be even if you have 20 gig (well 18 gig) worth of music."
sounds,3,  It all sounds great too. 
headphones,-3," As with most headphones that come with any type of music player,I recommend throwing these into the nearest river, unless you like having hard, round pieces of plastic in your ears. "
store,2, You can even use the ipod to store files from your pc and export your outlook files to it.
BATTERY,-3,Because Steve Jobs is a twisted individual and he made sure that he ruined this device by giving it an UNREPLACABLE 18 MONTH BATTERY. 
batteries,-3,  This was obviously a conspiracy as it is FREAKIN' EASY to manufacture a device with replaceable batteries!!
pay,-3,"However, in my mind, $299 is a lot to pay for a device that will only last 18 MONTHS. "
interface,-2, LOOKS AND DURABILITY: I realize many people are fond of the minimalist white interface.  
scratches,-2,"The biggest red flag for me was the fact that although my cousin's player was relatively new, it was riddled with scratches."
BATTERY,-3," BATTERY: Compared to the other players on the market, the iPod has one of the worst batteries around."
iPod,2,"	 If, like me you simply want an iPod to play your mp3's, buy this one. "
reliability,2,So reliability is the winner here for the iPod.
looks,2,"For looks, well iPod is head and shoulders better, both the iRiver and Creative Zen look positively ugly when next to a gleaming iPod. "
package,2," The iPod package comes with everything you need, the AC adaptor, firewire cable (quicker than USB, but slower than USB 2 which it also gives), those snazzy and powerfull headphones, and of course the player. "
design,-2," Maybe this new design is more durable than the last, but I kind of doubt it.  "
scratch,-2," We can start by losing the shiny miracle-material cover that you can literally scratch just by looking at it wrong, and thus eliminate the need for third-party ""iSkin"" protective covers for an extra thirty bucks."
earbuds,-2,"First of all, I've never been big on earbuds - they're just not that comfortable."
iPod,2," These issues aside, the iPod is kind of like the cell phone in that once you have one, you can't be without one."
alternative,-1,"  And if you're a Mac user like me, they've naturally made sure you have no viable alternative.  "
iTunes,1,"Also, you have to use it with iTunes - or they'll sue, dammit!  But iTunes is about as good as anything. "
player,2, The player is great. 
battery ,-1," However, the battery life isn't as good as I would like. "
product,2," Overall, this product is AWESOME. "
features,2," All the ""cool"" features of the mini, but with 20GB instead of 5.  "
use,2, Really easy to use.
click wheel,2, Has the click wheel and the ability to scan through thousnds of songs and organizes them great.
helpline,2, Has a great helpline.
charger,1, They fix the problem and help you with whatever your I-Pod needs Comes with two USB ports and a charger.
I-Tunes,1," They are EXTREMELY convient and you don't have to buy them seperately Has I-Tunes, which provides qulity music at low prices."
Breaks,-2,  Cons Breaks easily. 
Hard drive,-1,Hard drive screws up occasionally
I-Pod,2,The I-Pod is the best thing I have ever used. 
use,2,"I found that to be the most impressive thing about the iPod 'mini' - basically for ease of use, and the feel it gives. "
firewire,1, This unit comes with the USB/firewire cable as a standard item now. 
use,2,"  I have transferred in about 2,400 tracks so far - very easy to use both the Ipod and iTunes. "
sound quality,2,"I was worried about what the sound quality would be like, but that seems to be just as good as the actual CD sound."
screen,-1,"This is only a problem at night, during the day the screen is very easy to see. "
features,2,I love the features on the iPod and the many things you can do with it. 
battery,-2, The only problem is the battery life.
battery,-2,Apple's iPod battery replacement service costs $100! 
arm band,2,The arm band is fantastic and it doesn't budge even at the gym.  
design,2,I love the slim design; the weight would only be an issue if it were bulky.  
sound,3,"The ear buds that come with it look cheap, but the sound quality is amazing. "
click wheel,2,"  The click wheel is incredibly convenient, however it can be a little overly touchy at times, which will make you frustrated with your own fingers.  "
iTunes,2," I am a big fan of iTunes, simply because it is terribly fast and convenient - IF you are buying the songs from the iTunes site.  "
Apple,2, Way to go Apple!  
iPod,2,"I rarely get drawn in by mass-commercialism, but something about the iPod made me say, in the words of Lou and Andy, ""I WANT THAT ONE!"" I was willing to shell out "
