level_0,index,created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
6057,152484,2017-09-29 15:39:00,"Unable to win his ideological trophy from Congress, @realDonaldTrump is systematically destroying our health care säó_  ",https://twitter.com/SenBobCasey/status/913790414318178305,82,646,776,SenBobCasey,C001070,D,PA
6058,152485,2017-09-29 15:25:00,Questions on how exactly the Trump Admin is sabotaging our health care system? Here's a good rundown.  ,https://twitter.com/SenBobCasey/status/913786938842284032,21,201,209,SenBobCasey,C001070,D,PA
6059,152486,2017-09-29 14:29:00,  @TMacDonaldWHYY: Senator Bob Casey says law has been passed and signed..30th st station should be renamed after Congressman Bill Gray htäó_,https://twitter.com/SenBobCasey/status/913772684324081664,8,16,20,SenBobCasey,C001070,D,PA
6060,152487,2017-09-29 14:29:00,  @gray30thstation: äóìWhy are we here? This bill was passed in 2014. Weäó»re losing patienceäó - @SenBobCasey #Gray30thStation,https://twitter.com/SenBobCasey/status/913772612412637184,0,10,12,SenBobCasey,C001070,D,PA
6061,152488,2017-09-29 12:13:00,Looks like I took too simple of an approach with my earlier estimation...  ,https://twitter.com/SenBobCasey/status/913738620036624384,39,312,652,SenBobCasey,C001070,D,PA
6062,152489,2017-09-28 21:30:00,@thiswayjose @GovernorTomWolf @PatToomey I'll continue to urge the @SenateMajLdr to call up relief legislation andäó_  ,https://twitter.com/SenBobCasey/status/913516180480118784,4,22,48,SenBobCasey,C001070,D,PA
6063,152490,2017-09-28 19:23:00,"Yet, the cuts for the wealthiest are guaranteed in the text of the plan.  ",https://twitter.com/SenBobCasey/status/913484207585943553,13,227,331,SenBobCasey,C001070,D,PA
6064,152491,2017-09-28 19:12:00,"Itäó»s not äóìfineäó if workers donäó»t benefit. Tax reform should help workers, grow incomes and make it easier for middläó_  ",https://twitter.com/SenBobCasey/status/913481454612549632,18,100,187,SenBobCasey,C001070,D,PA
6065,152492,2017-09-28 19:09:00,They can guarantee that taxes will go down for the ultra-rich but can't guarantee that taxes won't increase for the middle class?,https://twitter.com/SenBobCasey/status/913480720244461568,24,153,302,SenBobCasey,C001070,D,PA
6066,152493,2017-09-28 19:04:00,At WH press briefing Gary Cohn once again failed to guarantee that no middle class family will see their taxes go up under Adminäó»s plan.,https://twitter.com/SenBobCasey/status/913479626248396800,104,579,1049,SenBobCasey,C001070,D,PA
6067,152494,2017-09-28 17:50:00,"Under the Republican plan, a family of four would gain $11,300 in standard deduction, and simultaneously lose $16,200 in personal exemptions",https://twitter.com/SenBobCasey/status/913461012229165057,28,425,386,SenBobCasey,C001070,D,PA
6068,152495,2017-09-28 17:49:00,Take this ex le for a married couple with two kids and a household income of 70K. They end up paying $288 MORE unäó_  ,https://twitter.com/SenBobCasey/status/913460668774457345,32,226,193,SenBobCasey,C001070,D,PA
6069,152496,2017-09-28 17:48:00,This creates a shell game that could cost middle class families more.,https://twitter.com/SenBobCasey/status/913460297695989760,9,35,57,SenBobCasey,C001070,D,PA
6070,152497,2017-09-28 17:46:00,"However, thereäó»s always a catch: the GOP plan also eliminates the äóìpersonal exemption.""",https://twitter.com/SenBobCasey/status/913459859340881920,6,57,89,SenBobCasey,C001070,D,PA
6071,152498,2017-09-28 17:44:00,"In the coming months, you will hear a lot from the GOP about äóìdoubling the standard deduction.äó",https://twitter.com/SenBobCasey/status/913459527479123968,12,47,73,SenBobCasey,C001070,D,PA
6072,152499,2017-09-28 17:43:00,Letäó»s examine how a middle class family could pay more under the GOP tax plan.,https://twitter.com/SenBobCasey/status/913459155675090944,23,168,252,SenBobCasey,C001070,D,PA
6073,152500,2017-09-28 17:37:00,"9 ways Trumpäó»s tax plan is a gift to the rich, including himself  ",https://twitter.com/SenBobCasey/status/913457630353510400,32,271,275,SenBobCasey,C001070,D,PA
6074,152501,2017-09-28 17:30:00,  @nytimes: Trump's tax plan provides large benefits for the wealthy and no direct benefit to the poor  ,https://twitter.com/SenBobCasey/status/913455856808861696,1084,5362,6060,SenBobCasey,C001070,D,PA
6075,152502,2017-09-28 17:10:00,How many times do we have to prove this wrong? Tax cuts donäó»t pay for themselves.    ,https://twitter.com/SenBobCasey/status/913450834998022145,66,176,367,SenBobCasey,C001070,D,PA
6076,152503,2017-09-28 17:06:00,@steveliesman @CNBC How many times do we have to prove this wrong? Tax cuts donäó»t pay for themselves.äó_  ,https://twitter.com/SenBobCasey/status/913449750543966209,3,11,25,SenBobCasey,C001070,D,PA
6077,152504,2017-09-28 14:58:00,Glad to hear it!  ,https://twitter.com/SenBobCasey/status/913417567900971013,3,19,136,SenBobCasey,C001070,D,PA
6078,152505,2017-09-28 14:24:00,My sincere thanks to the @PANationalGuard for their invaluable contributions to hurricane relief efforts.   ,https://twitter.com/SenBobCasey/status/913409204412649472,6,67,199,SenBobCasey,C001070,D,PA
6079,152506,2017-09-28 14:13:00,"Despite the failure of their latest repeal effort, this Administration continues to sabotage our health care system.  ",https://twitter.com/SenBobCasey/status/913406263211565058,81,667,613,SenBobCasey,C001070,D,PA
6080,152507,2017-09-27 23:41:00,"Trump Tax Plan Benefits Wealthy, Including Trump via @NYTimes  ",https://twitter.com/SenBobCasey/status/913186955361386497,66,286,343,SenBobCasey,C001070,D,PA
6081,152508,2017-09-27 22:45:00,  @SethHanlon: Try to cut Medicaid--&gt;run up against opposition--&gt;move onto cutting taxes--&gt;blow up deficits--&gt;try to cut Medicaid again beäó_,https://twitter.com/SenBobCasey/status/913172697416388608,7,75,107,SenBobCasey,C001070,D,PA
6082,152509,2017-09-27 22:13:00,"  @CenterOnBudget: ""Big Six"" tax plan? It's the top 1% get roughly 50% of the tax cuts, and no concrete details for working families: httpäó_",https://twitter.com/SenBobCasey/status/913164813102182411,14,207,122,SenBobCasey,C001070,D,PA
6083,152510,2017-09-27 20:31:00,"So if the GOP pass their tax plan, what will they do to offset the deficit increase? Move to cut Social Security, Medicare & ; Medicaid.",https://twitter.com/SenBobCasey/status/913138978106302465,49,259,332,SenBobCasey,C001070,D,PA
6084,152511,2017-09-27 20:29:00,"In their healthcare scheme, Congressional Rs pushed to decimate funding for Medicaid.",https://twitter.com/SenBobCasey/status/913138669141336065,11,85,115,SenBobCasey,C001070,D,PA
6085,152512,2017-09-27 20:28:00,.@SpeakerRyan and the @HouseGOP have repeatedly tried to end Medicare as we know it by turning it into a voucher program.,https://twitter.com/SenBobCasey/status/913138310746435584,6,110,122,SenBobCasey,C001070,D,PA
6086,152513,2017-09-27 20:27:00,"They've tried this before- In the early 2000s, the GOP moved to privatize Social Security following a massive tax cut for the wealthy.",https://twitter.com/SenBobCasey/status/913138099672272896,9,124,131,SenBobCasey,C001070,D,PA
6087,152514,2017-09-27 20:26:00,"The GOP tax plan would also rack up massive deficits which could lead to cuts to Social Security, Medicare & ; Medicaid.",https://twitter.com/SenBobCasey/status/913137811036962817,28,152,179,SenBobCasey,C001070,D,PA
6088,152515,2017-09-27 20:25:00,They preserve tax deductions for big business & ; sheltering corporate profits while eliminating one of the biggest for the middle class.,https://twitter.com/SenBobCasey/status/913137497332502528,10,133,157,SenBobCasey,C001070,D,PA
6089,152516,2017-09-27 20:20:00,"This is particularly hard on the middle-class. In PA 86% of taxpayers claiming state and local deduction make under $200K, 52% under 100K.",https://twitter.com/SenBobCasey/status/913136306556952576,9,146,184,SenBobCasey,C001070,D,PA
6090,152517,2017-09-27 20:18:00,"The GOP tax plan also eliminates the state and local deduction, meaning middle-class families would be taxed twice on their hard-earned pay.",https://twitter.com/SenBobCasey/status/913135706247172096,29,402,318,SenBobCasey,C001070,D,PA
6091,152518,2017-09-27 20:12:00,Claiming to double the standard deduction is also misleading. Read @jbarro on how the middle class may pay more.  ,https://twitter.com/SenBobCasey/status/913134305265815552,14,334,296,SenBobCasey,C001070,D,PA
6092,152519,2017-09-27 20:09:00,"In fact, in a gut punch to workers and their families, they actually raise the bottom tax bracket.  ",https://twitter.com/SenBobCasey/status/913133465536749568,15,277,222,SenBobCasey,C001070,D,PA
6093,152520,2017-09-27 20:04:00,"The GOP tax plan would lower the top tax bracket, meaning a massive tax cut for those at the very top.",https://twitter.com/SenBobCasey/status/913132352615911424,25,207,213,SenBobCasey,C001070,D,PA
6094,152521,2017-09-27 20:00:00,"From the @CenterOnBudget ""Contrary to repeal proponentsäó» rhetoric, the estate tax affects very few small farms and businesses""",https://twitter.com/SenBobCasey/status/913131331835621376,10,118,164,SenBobCasey,C001070,D,PA
6095,152522,2017-09-27 19:59:00,"The GOP tax plan ends the Estate tax, which only helps 5,200 of Americaäó»s wealthiest families.  ",https://twitter.com/SenBobCasey/status/913130996102463488,29,339,273,SenBobCasey,C001070,D,PA
6096,152523,2017-09-27 19:53:00,"The GOP tax plan contains a new loophole for real estate developers, hedge fund managers, etc to lower their taxes  ",https://twitter.com/SenBobCasey/status/913129515773284354,177,1359,1026,SenBobCasey,C001070,D,PA
6097,152524,2017-09-27 18:41:00,".@realDonaldTrump Based on your 2005 return, reducing the top income rate to 35% would personally benefit you to the tune of ~$7 million.",https://twitter.com/SenBobCasey/status/913111314763063307,652,11181,17188,SenBobCasey,C001070,D,PA
6098,152525,2017-09-27 18:26:00,"This is simply not true. Instead of looking out for middle class families, this tax scheme cuts taxes for the superäó_  ",https://twitter.com/SenBobCasey/status/913107548299042826,100,538,781,SenBobCasey,C001070,D,PA
6099,152526,2017-09-27 17:27:00,Cutting taxes for the super-rich wonäó»t create jobs or grow incomes for middle class families.  ,https://twitter.com/SenBobCasey/status/913092759841644545,60,265,468,SenBobCasey,C001070,D,PA
6100,152527,2017-09-27 14:28:00,".@SenateMajLdr We have bipartisan solutions to health care, call for a vote on @PattyMurray's and @SenAlexander's wäó_  ",https://twitter.com/SenBobCasey/status/913047717965914116,18,99,212,SenBobCasey,C001070,D,PA
6101,152528,2017-09-27 13:18:00,"  @PHLAirport: .@AmericanAir team at #PHL loads 31K lbs cargo including food, water, supplies, generators on Flt 2028 to SJU for AA Op Pueäó_",https://twitter.com/SenBobCasey/status/913029992434536453,38,308,1060,SenBobCasey,C001070,D,PA
6102,152529,2017-09-26 16:51:00,"Casey, Colleagues to GOP Leadership: Puerto Rico and U.S. Virgin Islands Need Congressional Help Now  ",https://twitter.com/SenBobCasey/status/912721424380461056,45,219,566,SenBobCasey,C001070,D,PA
6103,152530,2017-09-26 15:59:00,"  @SenDuckworth: @SenBobCasey Remember, the fight to protect health care isnäó»t over, and itäó»s up to all of us to keep speaking up and makiäó_",https://twitter.com/SenBobCasey/status/912708137404248064,15,90,222,SenBobCasey,C001070,D,PA
6104,152531,2017-09-26 15:53:00,"  @SenDuckworth: Iäó»m w/@SenBobCasey to speak out against #GrahamCassidy, which wld hurt Americans living w/disabilitiesäóîwatch LIVE äÊÍ  ",https://twitter.com/SenBobCasey/status/912706780983169024,39,220,710,SenBobCasey,C001070,D,PA
6105,152532,2017-09-26 15:40:00,  @SenatorHassan: STARTING NOW: I'm speaking about how #GrahamCassidy would be devastating for people with disabilities. Watch:  ,https://twitter.com/SenBobCasey/status/912703363699150848,13,47,104,SenBobCasey,C001070,D,PA
6106,152533,2017-09-26 15:38:00,"  @civilrightsorg: Thank you @SenBobCasey for speaking out on the need to #SaveMedicaid and #ProtectOurCare.Watch the rally NOW:  ",https://twitter.com/SenBobCasey/status/912702885472940033,1,40,104,SenBobCasey,C001070,D,PA
6107,152534,2017-09-26 15:37:00,"  @autselfadvocacy: @SenBobCasey welcoming the disability community including @NationalADAPT, @TheArcUS, @TheRealANCOR  ",https://twitter.com/SenBobCasey/status/912702708699844608,0,17,48,SenBobCasey,C001070,D,PA
6108,152535,2017-09-26 15:33:00,Watch Live: Cassidy-Graham Proposal Would Devastate Life For People With Disabilities   ,https://twitter.com/SenBobCasey/status/912701574249697280,22,75,110,SenBobCasey,C001070,D,PA
6109,152536,2017-09-25 22:45:00,Page 9: The Graham-Cassidy age tax  ,https://twitter.com/SenBobCasey/status/912448055303163904,25,122,127,SenBobCasey,C001070,D,PA
6110,152537,2017-09-25 22:42:00,Page 4: Pennsylvania will lose billions of dollars in federal health care funds.  ,https://twitter.com/SenBobCasey/status/912447287359655936,15,88,104,SenBobCasey,C001070,D,PA
6111,152538,2017-09-25 22:38:00,Page 8: no way will state be able to implement a replacement in two years.  ,https://twitter.com/SenBobCasey/status/912446352126283778,11,70,90,SenBobCasey,C001070,D,PA
6112,152539,2017-09-25 22:35:00,"This is where @USCBO says coverage for pregnancy, mental health care and opioid addition treatment can be taken awaäó_  ",https://twitter.com/SenBobCasey/status/912445445296836608,25,257,290,SenBobCasey,C001070,D,PA
6113,152540,2017-09-25 22:31:00,@USCBO Talk about a death spiral...  ,https://twitter.com/SenBobCasey/status/912444557127757824,7,49,59,SenBobCasey,C001070,D,PA
6114,152541,2017-09-25 22:29:00,"@USCBO Bottom of page 8 ""Not only would enrollment decline, but the people most likely to remain enrolled would tend to be less healthy""",https://twitter.com/SenBobCasey/status/912443886743810048,4,39,71,SenBobCasey,C001070,D,PA
6115,152542,2017-09-25 22:24:00,New @USCBO report on the latest version of Graham-Cassidy    ,https://twitter.com/SenBobCasey/status/912442691677548545,32,191,221,SenBobCasey,C001070,D,PA
6116,152543,2017-09-25 20:58:00,"  @JonathanTamari: .@SenBobCasey on Graham-Cassidy: ""The process isnt in any way commensurate w/the gravity of the challenge & ; the scope oäó_",https://twitter.com/SenBobCasey/status/912420986703794176,7,49,92,SenBobCasey,C001070,D,PA
6117,152544,2017-09-25 19:30:00,"The one and only Graham-Cassidy health care hearing continues, watch live:  ",https://twitter.com/SenBobCasey/status/912398846130556929,28,59,98,SenBobCasey,C001070,D,PA
6118,152545,2017-09-25 19:01:00,"  @GovernorTomWolf: PA would lose $11B under #GrahamCassidy, the third most in the nation. This would be devastating for PA families. httpäó_",https://twitter.com/SenBobCasey/status/912391514520719361,57,406,425,SenBobCasey,C001070,D,PA
6119,152546,2017-09-25 18:26:00,"The one and only hearing on Graham-Cassidy, watch live:  ",https://twitter.com/SenBobCasey/status/912382775529021440,23,49,52,SenBobCasey,C001070,D,PA
6120,152547,2017-09-25 18:12:00,  @DemsOnAging: .@LCAgingOrgs opposes #GrahamCassidy b/c it will increase #healthcare costs for millions of older adults. Read more:  ,https://twitter.com/SenBobCasey/status/912379280398733312,3,28,32,SenBobCasey,C001070,D,PA
6121,152548,2017-09-25 18:01:00,  @RonWyden: Follow @SenateFinance during the hearing for updates and real-time factchecks on#GrahamCassidy #Trumpcare,https://twitter.com/SenBobCasey/status/912376583721234433,13,85,123,SenBobCasey,C001070,D,PA
6122,152549,2017-09-25 17:59:00,"If only we anticipated this level of interest and formally requested a larger room to accommodate. Oh wait, we did.äó_  ",https://twitter.com/SenBobCasey/status/912375994639618048,28,410,802,SenBobCasey,C001070,D,PA
6123,152550,2017-09-25 16:55:00,"  @RonWyden: Your stories matter! @senatefinance Democrats read some of the 27,000+ constituent comments in meeting before #GrahamCassidyäó_",https://twitter.com/SenBobCasey/status/912360008356126721,45,332,546,SenBobCasey,C001070,D,PA
6124,152551,2017-09-25 16:55:00,"  @SenateDems: Prep before 2pm #Trumpcare hearingäóî@SenateDems pouring over the most important thing: your stories. 26,000+ have come in siäó_",https://twitter.com/SenBobCasey/status/912359862545321984,43,210,464,SenBobCasey,C001070,D,PA
6125,152552,2017-09-25 15:45:00,We must be there for our fellow Americans.,https://twitter.com/SenBobCasey/status/912342414089703425,8,42,156,SenBobCasey,C001070,D,PA
6126,152553,2017-09-25 15:45:00,3.5 million Puerto Ricans and 100K US Virgin Islanders are in the midst of incredible suffering and devastation.,https://twitter.com/SenBobCasey/status/912342339133300736,8,108,219,SenBobCasey,C001070,D,PA
6127,152554,2017-09-25 15:42:00,"Congress must work quickly to put together an aid package for the American Territories affected by hurricanes, incläó_  ",https://twitter.com/SenBobCasey/status/912341667612676096,55,438,936,SenBobCasey,C001070,D,PA
6128,152555,2017-09-25 15:40:00,@HesterBlum @SenToomey @CongressmanGT Congress must work quickly to put together an aid package for the American Teäó_  ,https://twitter.com/SenBobCasey/status/912341056481611778,4,4,10,SenBobCasey,C001070,D,PA
6129,152556,2017-09-25 15:23:00,  @LittleLobbyists: Medicaid is a proven program. 70m+ Americans & ; 60% of children w/disabilities get healthcare through Medicaid - @SenBoäó_,https://twitter.com/SenBobCasey/status/912336816937754624,23,268,410,SenBobCasey,C001070,D,PA
6130,152557,2017-09-25 15:18:00,"  @AmDiabetesAssn: #Medicaid is a proven program. It should be expanded, not gutted. -@SenBobCasey #ProtectPatientsNow",https://twitter.com/SenBobCasey/status/912335540283899904,3,49,88,SenBobCasey,C001070,D,PA
6131,152558,2017-09-25 15:18:00,"  @TheArcUS: .@SenBobCasey: ""60% of children with disabilities get their insurance through #Medicaid...and they want to decimate it?"" httpäó_",https://twitter.com/SenBobCasey/status/912335447069745158,5,117,132,SenBobCasey,C001070,D,PA
6132,152559,2017-09-25 15:15:00,  @AmDiabetesAssn: Thank you @SenBobCasey for putting patients first & ; saying no to #GrahamCassidy! #ProtectPatientsNow  ,https://twitter.com/SenBobCasey/status/912334872437551105,2,43,131,SenBobCasey,C001070,D,PA
6133,152560,2017-09-25 15:15:00,  @MSactivist: Thank you #MScaucus Chair @SenBobCasey for your work to #ProtectPatientsNow and for being a voice for people with pre-ex coäó_,https://twitter.com/SenBobCasey/status/912334677033308160,1,27,46,SenBobCasey,C001070,D,PA
6134,152561,2017-09-25 15:14:00,  @AmHeartAdvocacy: @SenBobCasey of Pennsylvania provides his perspective on #GrahamCassidy at the #ProtectPatientsNow event  ,https://twitter.com/SenBobCasey/status/912334555746578432,1,17,36,SenBobCasey,C001070,D,PA
6135,152562,2017-09-25 15:10:00,Live Now: Senator Casey On Cassidy-Graham Health Care Bill  ,https://twitter.com/SenBobCasey/status/912333519451500544,5,30,58,SenBobCasey,C001070,D,PA
6136,152563,2017-09-25 14:58:00,A single hearing on a bill they revised last night and plan to vote on this week is not 'regular order'  ,https://twitter.com/SenBobCasey/status/912330359727063040,32,314,570,SenBobCasey,C001070,D,PA
6137,152564,2017-09-25 13:54:00,"If you truly wanted to 'turn the tide' on the opioid crisis, you wouldn't be pushing a scheme that will decimate träó_  ",https://twitter.com/SenBobCasey/status/912314256447737857,25,182,366,SenBobCasey,C001070,D,PA
6138,152565,2017-09-25 13:35:00,"A pathetic, awful piece of legislation that will devastate families  ",https://twitter.com/SenBobCasey/status/912309502594174977,68,384,644,SenBobCasey,C001070,D,PA
6139,152566,2017-09-25 03:18:00,"Important info from @larry_levitt. This thread reveals the deliberately misleading numbers being used to spin the ""äó_  ",https://twitter.com/SenBobCasey/status/912154407155802113,37,817,750,SenBobCasey,C001070,D,PA
6140,152567,2017-09-25 03:08:00,Still a bad deal for PA cc: @GovernorTomWolf  ,https://twitter.com/SenBobCasey/status/912151763477725184,21,103,205,SenBobCasey,C001070,D,PA
6141,152568,2017-09-25 02:57:00,The pre-existing conditions fig leaf is now non-existent  ,https://twitter.com/SenBobCasey/status/912148994327040000,23,298,429,SenBobCasey,C001070,D,PA
6142,152569,2017-09-25 02:51:00,Graham-Cassidy has always been about chasing the ideological trophy of 'repeal.' It will hurt families and is deepy shameful.,https://twitter.com/SenBobCasey/status/912147426089332736,25,304,588,SenBobCasey,C001070,D,PA
6143,152570,2017-09-25 02:49:00,But Graham-Cassidy isn't about improving health care for Americans and never has been.,https://twitter.com/SenBobCasey/status/912147089521610757,15,180,322,SenBobCasey,C001070,D,PA
6144,152571,2017-09-25 02:48:00,The sham process underway for Graham-Cassidy would be inexplicable if the purpose was to actually improve our health care system,https://twitter.com/SenBobCasey/status/912146882423660547,13,170,242,SenBobCasey,C001070,D,PA
6145,152572,2017-09-25 02:46:00,Can they guarantee that PA seniors won't be impacted by cuts to nursing home care? How about the impact on  individuals w/ a disability?,https://twitter.com/SenBobCasey/status/912146337386369024,11,127,207,SenBobCasey,C001070,D,PA
6146,152573,2017-09-25 02:45:00,Can the backers of Graham-Cassidy guarantee that Pennsylvanians won't lose their insurance under their scheme? That premiums won't rise?,https://twitter.com/SenBobCasey/status/912145992891412481,23,137,228,SenBobCasey,C001070,D,PA
6147,152574,2017-09-25 02:43:00,"As a member of @SenateFinance I have been preparing for a hearing on Graham-Cassidy tomorrow, but now there's a wholly new bill",https://twitter.com/SenBobCasey/status/912145627336847360,25,222,259,SenBobCasey,C001070,D,PA
6148,152575,2017-09-25 02:42:00,"In fact, according to @washingtonpost, the latest Graham-Cassidy version is even more extreme than the previous version.",https://twitter.com/SenBobCasey/status/912145219587645441,14,290,310,SenBobCasey,C001070,D,PA
6149,152576,2017-09-25 02:41:00,"The ""new"" Graham-Cassidy bill appears to be just as cruel & ; as devastating to families as the previous version.",https://twitter.com/SenBobCasey/status/912144893497180161,12,244,277,SenBobCasey,C001070,D,PA
6150,152577,2017-09-25 02:38:00,The Graham-Cassidy scheme will still  increase premiums for the middle class & ; decimate Medicaid,https://twitter.com/SenBobCasey/status/912144217283153920,15,240,261,SenBobCasey,C001070,D,PA
6151,152578,2017-09-25 02:36:00,According to reports the latest Graham-Cassidy scheme contains legislative bribes designed to gain votes,https://twitter.com/SenBobCasey/status/912143820137123841,60,468,455,SenBobCasey,C001070,D,PA
6152,152579,2017-09-25 02:34:00,It appears there is a new Graham-Cassidy scheme being put forth tonight. @SenateGOP planning a vote on this new bill Wednesday,https://twitter.com/SenBobCasey/status/912143308071342081,208,1630,1280,SenBobCasey,C001070,D,PA
6153,152580,2017-09-22 20:03:00,The majority of PA counties rely on their rural hospitals for both care & ; jobs. This is a threat to their survival.  ,https://twitter.com/SenBobCasey/status/911320166507646976,39,171,356,SenBobCasey,C001070,D,PA
6154,152581,2017-09-22 19:59:00,"  @NYTHealth: The latest Obamacare repeal effort has been called ""by far the most radical"" by health policy experts  ",https://twitter.com/SenBobCasey/status/911319096129724417,12,57,69,SenBobCasey,C001070,D,PA
6155,152582,2017-09-22 19:04:00,"Sadly, this has never been about improving our health care system, @SenateGOP just wants to put political points onäó_  ",https://twitter.com/SenBobCasey/status/911305202904510464,75,395,919,SenBobCasey,C001070,D,PA
6156,152583,2017-09-22 19:02:00,More analysis on the devastating effects of #GrahamCasiddy  ,https://twitter.com/SenBobCasey/status/911304635205521409,9,86,112,SenBobCasey,C001070,D,PA
6157,152584,2017-09-22 16:26:00,"This reckless action by @usedgov will make it harder for schools to hold violent perpetrators accountable.",https://twitter.com/SenBobCasey/status/911265406282866694,14,60,140,SenBobCasey,C001070,D,PA
6158,152585,2017-09-22 16:23:00,This is not just a betrayal of the victims of c us sexual assault-  it also discourages future victims from coming forward & ; seeking help.,https://twitter.com/SenBobCasey/status/911264705716596736,17,101,250,SenBobCasey,C001070,D,PA
6159,152586,2017-09-22 16:20:00,Secretary DeVos and this Administration have betrayed the victims of c us sexual assault with this decision.  ,https://twitter.com/SenBobCasey/status/911264037236871168,88,446,795,SenBobCasey,C001070,D,PA
6160,152587,2017-09-22 15:11:00,"Thank you Governor, #GrahamCassidy puts the care of far too many Pennsylvanians at risk. I will emphatically vote näó_  ",https://twitter.com/SenBobCasey/status/911246679181062144,121,506,1638,SenBobCasey,C001070,D,PA
6161,152588,2017-09-22 13:00:00,Every. Single. One.  ,https://twitter.com/SenBobCasey/status/911213718524121093,79,925,1939,SenBobCasey,C001070,D,PA
6162,152589,2017-09-22 12:59:00,  @CBSPittsburgh: Sen. Casey: Latest Republican Obamacare Repeal Bill Will Cripple Opioid Treatment  ,https://twitter.com/SenBobCasey/status/911213384888127488,20,61,87,SenBobCasey,C001070,D,PA
6163,152590,2017-09-22 12:59:00,"  @905wesa: Area politicians, including Sen. Bob Casey, speak out against the proposed federal health care plan:   häó_",https://twitter.com/SenBobCasey/status/911213329946939392,3,17,46,SenBobCasey,C001070,D,PA
6164,152591,2017-09-21 20:36:00,"If you promise to fight even half as hard as my new friend Claire, we'll defeat Graham-Cassidy and save Medicaid toäó_  ",https://twitter.com/SenBobCasey/status/910965973225738240,61,753,2104,SenBobCasey,C001070,D,PA
6165,152592,2017-09-21 19:56:00,"Graham-Cassidy would decimate Medicaid, worsen the opioid crisis, and raise premiums in every county in Pennsylvaniäó_  ",https://twitter.com/SenBobCasey/status/910956031525744640,68,527,839,SenBobCasey,C001070,D,PA
6166,152593,2017-09-21 15:47:00,Here's one more: 202-224-3121. That's the number to the Capitol switchboard.,https://twitter.com/SenBobCasey/status/910893219705221121,32,250,395,SenBobCasey,C001070,D,PA
6167,152594,2017-09-21 15:43:00,20%: Next year's estimated increase in premiums under Graham-Cassidy  ,https://twitter.com/SenBobCasey/status/910892242092556288,18,185,219,SenBobCasey,C001070,D,PA
6168,152595,2017-09-21 15:40:00,31%: The cut in funding over the next 20 years for kids who receive care through Medicaid.  ,https://twitter.com/SenBobCasey/status/910891419019210752,12,181,213,SenBobCasey,C001070,D,PA
6169,152596,2017-09-21 15:38:00,"$16,174: The increase in annual health care costs for a 60-year-old earning $25K  under Graham- Cassidy via @AARP  ",https://twitter.com/SenBobCasey/status/910890941170487298,14,225,222,SenBobCasey,C001070,D,PA
6170,152597,2017-09-21 15:33:00,"$17,320: The estimated insurance premium surcharge for having a child under Graham-Cassidy.  ",https://twitter.com/SenBobCasey/status/910889816950235136,45,268,258,SenBobCasey,C001070,D,PA
