Accident Number,Event Date,Investigation Type,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Fatal,Aircraft Damage,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Final Narrative,Narrative Cause
LAX01LA069,01/05/2001,Accident,"Livermore, CA",United States,37.68° N,121.82° W,LVK,Livermore Municipal,Non-Fatal,Non-Fatal,Substantial,N6165M,Cessna,152,No,1,Reciprocating,Instructional,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

After touchdown the airplane porpoised down the runway, the nose landing gear collapsed, and the airplane departed the runway.  The purpose of the flight was to conduct touch-and-go takeoffs and landings.  The student pilot had been flying for 1 hour 45 minutes, and had conducted 14 touch-and-go takeoffs and landings prior to the accident.  A pilot that landed prior to the accident pilot reported a quartering tailwind.  The student pilot decided to make the accident landing a full stop.  When the airplane touched down she noted her airspeed to be 70 knots.  The airplane landed hard, bounced in the air, and porpoised down the runway before the nose landing gear collapsed.  No discrepancies were noted with the airplane or engine by the pilot.",The student pilot's inadequate compensation for a tailwind during final approach and her improper recovery from a bounced landing.
MIA01LA055,01/05/2001,Accident,"Cleveland, TN",United States,,,,,Non-Fatal,Non-Fatal,Destroyed,N112EC,Hiller,UH-12E,No,1,Turbo Shaft,Aerial Application,,,,1,VMC,STANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

	According to the pilot, the externally slung, hydraulically operated fertilizer bucket stopped dispensing. With no ground handling crewman available, the pilot set the rotorcraft down to troubleshoot the problem. With engine rpm near maximum to run the hydraulic pump to its maximum output, the pilot climbed out of the left seat, onto the left skid to read the externally mounted hydraulic pressure gage. While egressing the cockpit, the pilot accidentally bumped the collective control to the ""increase rotor pitch"" position, and the rotorcraft became airborne without him aboard. The rotorcraft climbed to about 500 feet agl, in circling flight until the loaded fertilizer bucket began swinging in ever-divergent oscillations causing rotorcraft instability and eventual main rotor-to-boom strike and crash.","	The PIC's failure to follow safe operating procedures for the maintenance of the rotorcraft's external aerial application equipment,  resulting in inadvertent activation of collective as he egressed the rotorcraft,  causing unmanned flight, in-flight break-up, and collision with terrain."
DEN01LA039,01/06/2001,Accident,"Spanish Fork, UT",United States,40.18° N,111.70° W,,,Non-Fatal,Non-Fatal,Destroyed,N108ES,Cessna,152,No,1,Reciprocating,Personal,,1,1,,IMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot reported that he and pilot-rated passenger assessed the weather conditions before departing on the local night flight, and determined it was safe to fly. The pilot estimated the visibility to be 5 miles. Shortly after takeoff, both the pilot and pilot rated passenger lost sight of the ground and horizon. The pilot wrote, ""I felt the passenger/pilot grab the [control] yoke. I asked what he was doing. He said he felt we were turning. I then noticed we were going down."" The pilot-rated passenger said they were ""disoriented. [The pilot] thought we should descend a little. That's what we were doing when we hit the lake. We didn't really see it coming."" He made no mention of control interference. Neither pilot was instrument rated. The airplane impacted a frozen lake, skidded about 300 feet, and fell through the ice. A witness reported that the visibility was 2 miles in fog.","Improper weather evaluation by both the pilot and pilot/passenger, and the pilot's inadvertent VFR flight into IMC resulting in his spatial disorientation. Factors were the pilot rated passenger's spatial disorientation, fog, and night conditions."
FTW01LA064,01/06/2001,Accident,"Pine Bluff, AR",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N8984B,Cessna,172,No,1,Reciprocating,Personal,,,,2,VMC,MANEUVERING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot was flying the airplane at 1,200 feet agl, looking at the ice damage caused by a recent storm.  As the airplane was crossing plowed fields, which were surrounded by trees, the engine rpm ""dropped to around 1100.""  The pilot ""pushed the fuel mixture all the way to rich, pulled the carburetor heat control, pushed off the cabin heat and pushed the throttle all the way forward,"" with no increase in engine performance.  A forced landing was initiated to a gravel road.  During the landing roll, the airplane drifted off the left side of the road into a muddy ditch.  The airplane nosed over and came to rest inverted.  The pilot reported that the loss of engine power was due to carburetor icing.",the pilot's failure to maintain directional control during the forced landing on a gravel road.  Contributing factors were the pilot's delay in using carburetor heat and the loose gravel.
LAX01FA070,01/06/2001,Accident,"San Luis Obispo, CA",United States,,,SBP,San Luis Obispo,Fatal(2),Fatal,Destroyed,N383CA,Cessna,172F,No,1,Reciprocating,Personal,2,,,,IMC,CLIMB,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

During the instrument flight rules initial climb after takeoff, in fog, to visual conditions on top, the airplane collided with the ground about 1 mile from the departure runway.  Prior to departure on runway 11, the pilot contacted the control tower to request the instrument departure to on-top and was advised to standby.  During the course of communication the pilot was advised the ""tops"" were 300 feet above ground level, and was issued a clearance to taxi to the runway.  The tower advised the pilot that they were closing and to contact ARTCC for release.  The pilot obtained the IFR clearance and was released to on-top.  The pilot's release included a standard instrument departure that required a right turn to 130 degrees after departure.  There was no further communication with the pilot and radar contact was never established.  The airplane subsequently collided with the ground, south of the runway, in a steep right wing down attitude on a magnetic heading of 180 degrees.  Examination of the airplane wreckage did not reveal any system anomalies.  The vacuum pump drive shear-shaft was found intact and there was rotational scoring of the attitude indictor gyroscope rotor.",The pilot's failure to maintain a proper climb rate to VFR conditions on-top.
SEA01LA035,01/06/2001,Accident,"EASTSOUND, WA",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N1703D,Cessna,170A,No,1,Reciprocating,Personal,0,2,0,0,VMC,APPROACH,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot, who had not ascertained the temperature-dew point spread prior to departure, took off for a local personal pleasure flight in conditions that were conducive to serious carburetor icing at climb, cruise, or glide power. During the 10 minutes that he flew around the local area with the engine at a full-rich cruise power setting, he did not activate the carburetor heat in order to check for ice accumulation in the carburetor throat. When he returned to the airport to enter the VFR pattern, he reduced the throttle to idle at the same time as he applied the carburetor heat. After he turned final and pushed the throttle forward to add power, he discovered that the engine had quit. A post-accident teardown inspection of the engine and carburetor established that there was fuel present in those systems, and that there was no evidence of any malfunction or anomaly that would have contributed to a loss of power.","The pilot's failure to use carburetor heat prior to reducing engine power to idle while operating in serious carburetor icing conditions. Factors include serious carburetor icing conditions, and trees in the area where the pilot found it necessary to attempt a forced landing."
IAD01LA023,01/07/2001,Accident,"LINCOLN PARK, NJ",United States,,,N07,LINCOLN PARK,Non-Fatal,Non-Fatal,Substantial,N699LP,Cessna,172S,No,1,Reciprocating,Personal,,,,2,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot made a normal approach to the 2,942 foot long and 40 foot wide runway at night, but landed to the left of the runway centerline.   The left main gear touched down on the edge of the runway, and the left landing gear landed in a bank of plowed snow.  The airplane veered to the left, traveled deeper into the snow, and flipped over.  The pilot reported that  there were no mechanical deficiencies, and stated that he ""messed up"" the landing.",the pilot's failure to maintain proper runway alignment during landing.  Factors in the accident were the night lighting and the snow bank.
IAD01LA024,01/07/2001,Accident,"Concord, NH",United States,43.20° N,71.50° W,CON,Concord Muni Airport,Non-Fatal,Non-Fatal,Substantial,N54931,Cessna,172P,No,1,Reciprocating,Instructional,,,,3,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The flight instructor and student pilot departed from runway 35, which was covered with patches of snow and ice, and climbed to 1,200 feet before leveling the airplane.  The flight instructor then instructed the student pilot to perform a simulated engine failure approach and landing.  The student pilot turned the airplane 270 degrees and prepared for a landing on runway 12.  The airplane touched down about half-way down the 3,200 foot-long runway, and bounced back into the air.  The flight instructor then took the controls and landed on the snow covered runway.  The airplane touched down about 3/4 of the way down the runway, and as the flight instructor stepped on the brakes, the airplane skid into a snowbank and nosed over.  Both pilots reported there were no mechanical malfunctions with the airplane.  The winds reported at the time of the accident were from 320 degrees at 8 knots.","The flight instructor's improper decision to land downwind on the snow and ice covered runway with a tailwind, and his failure to perform a go-around.  Factors in the accident were the tailwind and the snow and ice on the runway."
MIA01LA056,01/07/2001,Accident,"Perry, FL",United States,30.07° N,83.58° W,,Lumar Airstrip,Non-Fatal,Non-Fatal,Substantial,N40030,Maule,MXT-7-180A,No,1,Reciprocating,Instructional,,1,,,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

	The pilot stated that after numerous landings performed at his home airstrip, he wanted to show his new acquisition off to a friend at another private airstrip. The grass runway was, ""very rough and hilly"" and his landing attempt resulted in a bounced landing and porpoising that caused the wings and wing struts to deform, the nose wheel strut to fracture, and the remaining nose wheel strut stub to dig in the terrain. The aircraft sustained a nose over and the student suffered serious injuries.","	The loss of control on landing due to the student's improper recovery from a bounced landing, and the resulting nose over on the grass runway."
MIA01LA057,01/07/2001,Accident,"Jacksonville, FL",United States,30.49° N,81.69° W,JAX,Jacksonville International,Non-Fatal,Non-Fatal,Substantial,N6807N,Mooney,M-20C,No,1,Reciprocating,Personal,,,,2,VMC,CLIMB,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

	According to the pilot, following power application after his first touch and go landing, the aircraft assumed an extremely nose high attitude, and he realized he had no pitch control, limited rudder control, and full aileron control. He was able to control pitch attitude with throttle setting, and conducted an emergency landing in a field adjacent to the airport, sustaining substantial damage. Postcrash examination revealed a disconnect in the pitch controls at the aft pitch control rod-end-to-bellcrank connection in the tailcone. Examination of the components revealed that the pitch control rod-end eye was missed when the connecting bolt was pushed through  the bellcrank side plate holes. When the nut was fitted to the bolt and tightened, the result was a connection that was only  a ""squeezed"", friction fit.  About 12 flight hours before the accident, on October 24, 2000, the aircraft underwent a 100-hour inspection, at which time the following was entered in the logbook, ""Checked all control push rods and rod end bearings. Lubricated Flight Controls"".  On April 24, 1980, Mooney Aircraft Corporation recognized a potential for a misconnection between the rod end and the bellcrank and promulgated Service Instruction M20-44, which had not been accomplished on this aircraft.","	The failure of maintenance personnel to properly reconnect the aircraft's elevator control system, resulting in an in-flight disconnection of the elevator control and jamming of the rudder control during climb,  the subsequent in-flight loss of control, and terrain collision following an emergency descent and landing."
MIA01LA059,01/07/2001,Accident,"Parkton, NC",United States,,,35W,Southern Comforts Aerodrome,Non-Fatal,Non-Fatal,Substantial,N5883B,Cessna,182A,No,1,Reciprocating,Skydiving,,,,1,VMC,DESCENT,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The flight departed with approximately 20 gallons of fuel in each fuel tank and offloaded skydivers at 10,500 feet, then descended to return with the throttle at idle, the fuel/air ratio leaned; and carburetor heat applied.  At 2,000 feet, the pilot began to level off and, ""realized I was having engine trouble and began my emergency procedures for an engine failure at altitude....""  He checked the position of the fuel selector valve which was in the same position it was selected for takeoff, ""both on.""  He positioned the fuel selector to the left, right, and both positions with negative results, and also checked ""my ignition and check all fuses.""  He was unable to start the engine and performed a forced landing in a field.  Before touchdown he turned off the fuel selector valve; after touchdown, the airplane nosed over.  The fuel strainer was empty when examined by a mechanic approximately 45 minutes after the accident.  Examination of the airplane by an FAA inspector approximately 24 hours after the accident revealed the flexible hose from the fuel strainer to the carburetor contained a slight amount of fuel (capful).  No discrepancies with the fuel strainer, ignition, or vent systems noted.  Following release by the FAA for recovery, the carburetor was removed and no fuel spray noted from the accelerator pump discharge nozzle when the throttle was activated.   The fuel flow rate through the fuel selector valve was less with the fuel selector valve positioned to the right tank than with the valve positioned to the left or both positions.  Disassembly of the fuel selector valve revealed no evidence of debris or wear; no determination was made as to the reason for the low fuel flow rate with the fuel selector positioned to the ""right"" position.  Historical uneven fuel consumption greater from the left tank was noted while operating the airplane in skydiving operations that involve mainly climbs and descents.  After repairs, the engine was placed on the airframe and operated with no discrepancies noted.  Post accident testing with an exemplar carburetor, the accident fuel strainer and flexible hose from the fuel strainer to the carburetor with the assembly placed inverted revealed the carburetor leaks fluid to a certain level but fluid remains in the bowl.  Additionally, with the assembly inverted and the carburetor bowl empty but fluid in the fuel strainer and flexible line, fluid does not flow into the carburetor bowl.  The fuel selector valve was repaired last on March 18, 1977, in which an o-ring on the fuel selector shaft was replaced.",The loss of engine power during a normal descent due to fuel starvation for undetermined reasons.
SEA01LA036,01/07/2001,Accident,"Troutdale, OR",United States,,,TTD,PORTLAND-TROUTDALE,Non-Fatal,Non-Fatal,Substantial,N78284,Cessna,172K,No,1,Reciprocating,Personal,,,,1,VMC,TAXI,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The private pilot was landing the airplane on a dry paved runway (07).  Shortly after touchdown, the pilot exited the runway at taxiway Alpha Two (A-2).  While taxing from the runway to A-2, the airplane nosed-over.  The aircraft came to rest on its back adjacent to the taxiway.  The 1253 METAR observation at Troutdale, reported winds from 100 degrees true at 27 knots, gusting to 34 knots.  The pilot stated that there were no mechanical difficulties or failures with the aircraft that may have contributed to the accident.",The pilot's failure to adequately compensate for wind conditions while taxiing the airplane.
CHI01LA066,01/08/2001,Accident,"Detroit, MI",United States,,,DTW,DETROIT METROPOLITAN WAYNE CO.,Non-Fatal,Non-Fatal,Substantial,N784CA,Bombardier,CL-600-2B19,No,2,Turbo Jet,,,,2,31,VMC,STANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

An unoccupied van rolled backward and impacted the left side of the airplane causing damage. An airport police report stated, ""I [the investigating police officer] interviewed the driver [of the van] who stated that the vehicle had been parked about twenty yards in front of the aircraft for about two minutes before the incident.  The driver [of the van] stated that he went to check oil fittings and does not know how the vehicle struck the aircraft.""  The reported stated that the captain of the aircraft was interviewed and, ""...He [the captain of the aircraft] observed the vehicle drive towards and then strike the aircraft moving the aircraft sideways approx. [approximately] 10 inches.""  Post-accident inspection of the 1988 Dodge Ram Van failed to reveal any anomalies that would prevent the normal operation of the vehicle, specifically the parking brake, the column shifter, and the parking gear.",The vehicle driver's inadvertent failure to place the column shifter into the parking gear.  A factor to the accident was the vehicle.
DEN01LA040,01/08/2001,Accident,"Meeker, CO",United States,,,EEO,Meeker,Non-Fatal,Non-Fatal,Substantial,N8067F,Cessna,150F,No,1,Reciprocating,Instructional,,,,2,VMC,APPROACH,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

Prior to takeoff, both fuel tanks were checked by the student pilot.  The amount of fuel in the left tank measured 2 inches in depth. There was a negligible (about 1/2 inch) amount of fuel in the right tank, ""enough fuel for about an hour and a half of flight time,"" the instructor said. After flying 1.3 Hobbs meter hours, the engine lost power and the instructor made a forced landing in a deep snow covered field and the airplane nosed down. Later, the master switch was turned on and the left tank registered slightly less than one-half full.","Fuel exhaustion due to the failure of the instructor to ensure there was sufficient fuel for the flight. Factors were the instructor's inadequate supervision of the student pilot, and the deep snow-covered terrain."
FTW01FA048,01/08/2001,Accident,"Mineral Wells, TX",United States,32.76° N,98.09° W,,,Fatal(1),Fatal,Substantial,N152AL,Bell,206B,No,1,Turbo Shaft,Business,1,,,,VMC,MANEUVERING,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The helicopter was on a local area flight.  A witness, who was loading topsoil into a truck with a Caterpillar loader, noticed a shadow pass overhead and ""heard  the noise of rotor blades.""  He turned around and observed the helicopter impact the ground, nose over,  and come to rest  inverted about 30 feet from his location.  The witness stated that he ""did not hear the engine running.""  The engine was removed from the helicopter and test run for about 47 minutes through various power settings.  No anomalies were noted.  Further examination of the main fuel control and power turbine governor noted no anomalies.",the loss of engine power for undetermined reasons.  A contributing factor was the lack of suitable terrain for the forced landing.
